id	category	predicate	evidence_class	required
X02	recovery	retries change a stored factor or external condition	decision-sequence-check	yes
X03	recovery	length faults are distinct from connection faults	fault-classification-check	yes
X04	recovery	exhaustion is visible resumable block and not idle or success	budget-scenario	yes
K01	completion	checks bind current matter obligation parameters and file hash	check-relational-check	yes
K02	completion	later file change invalidates dependent check	invalidation-scenario	yes
K03	completion	close commits final message and has no unsettled effect	close-transaction-check	yes
W01	workspace	separate root and Compose host variable are active before public edit	root-mount-check	yes
W02	workspace	startup creates no full empty scaffold	fresh-workspace-manifest	yes
W03	workspace	READMEs are explicit effect targets following real content	workspace-effect-check	yes
W04	workspace	agent-owned records follow lazy paths and token cap	workspace-check	yes
W05	workspace	diary uses timezone date path and grounded model-authored body	journal-scenario	yes
W06	workspace	memory affects later matter once and correction wins	recall-scenario	yes
W07	workspace	conversation and session receipts are bounded projections not authority	activity-scenario	yes
W08	workspace	short and semantic reports are checked linked bounded and nonplaceholder	artifact-scenario	yes
T01	tui	owner and final messages render once in causal order	message-db-screen-check	yes
T02	tui	frame conversation activity and status use one store read transaction	store-read-trace	yes
T03	tui	conversation excludes queue state tool and error chatter	pty-screen-check	yes
T04	tui	activity IDs remain stable and polling does not duplicate	activity-screen-check	yes
T05	tui	follow shows newest wrapped row and restores at bottom	viewport-and-pty-check	yes
T06	tui	manual anchor survives append resize search and shrink	viewport-and-pty-check	yes
T07	tui	composer clears after commit and survives refresh activity resize search and slow call	pty-input-trace	yes
T08	tui	Japanese input remains responsive during slow call	pty-input-trace	yes
T09	tui	no blank overscroll exists while matching messages exist	pty-screen-check	yes
T10	tui	PTY rows bind logical IDs through resize bottom search-clear and post-submit restart	pty-manifest-check	yes
E01	evidence	few substantive deterministic suites pass on frozen source	command-log	yes
E02	evidence	locked no-cache clean-export Docker build test lint verify pass	command-log-and-image-hash	yes
E03	evidence	concrete tracked profile plan is strict ancestor of repeated outcomes	experiment-plan-and-results	yes
E04	evidence	one winner passes floors loser code is removed interactions retained	experiment-results-and-source	yes
E05	evidence	development file campaign has 900 seconds meaningful scheduled work	campaign-manifest	yes
E06	evidence	development recovery campaign has 900 seconds meaningful scheduled work	campaign-manifest	yes
E07	evidence	development life campaign has 900 seconds meaningful scheduled work	campaign-manifest	yes
E08	evidence	development project campaign has 900 seconds meaningful scheduled work	campaign-manifest	yes
E09	evidence	development PTY campaign has 900 seconds meaningful scheduled work	campaign-manifest	yes
E10	evidence	frozen file campaign has 900 seconds meaningful scheduled work	campaign-manifest	yes
E11	evidence	frozen recovery campaign has 900 seconds meaningful scheduled work	campaign-manifest	yes
E12	evidence	frozen life campaign has 900 seconds meaningful scheduled work	campaign-manifest	yes
E13	evidence	frozen project campaign has 900 seconds meaningful scheduled work	campaign-manifest	yes
E14	evidence	frozen PTY campaign has 900 seconds meaningful scheduled work	campaign-manifest	yes
E15	evidence	sanitized synthetic evidence and compressed DB are tracked	git-files-and-manifest	yes
E16	evidence	reachable Git history and index contain no current/known secret authorization or private data	history-secret-scan	yes
E17	evidence	independent reviewer recomputes every required predicate	independent-review	yes
