id	wave	depends	owner	completion_predicate	focused_command	real_command	required
legacy-deletion	3	file-edit-real	parent	legacy task step template plan bridge routing source SQL docs tests are absent	cargo run --locked -p lkjagent-xtask -- quiet verify	cargo run --locked -p lkjagent-xtask -- campaign run --scenario edit --repeats 3	yes
development-file-campaign	3	legacy-deletion,evaluation-runner	parent	meaningful scheduled file campaign runs 900 seconds with durable work	cargo run --locked -p lkjagent-xtask -- evidence check --campaign development-file	cargo run --locked -p lkjagent-xtask -- campaign run --scenario file --seconds 900	yes
protocol-recovery	4	legacy-deletion	parent	malformed hidden-tool and premature-final faults change state and strategy	cargo test --locked -p lkjagent-core contract_tables	none	yes
file-recovery	4	protocol-recovery,effects-exact-edit	parent	stale ambiguous and every crash phase recover or block safely	cargo test --locked -p lkjagent-effects workspace_safety	cargo run --locked -p lkjagent-xtask -- campaign run --scenario stale-edit --repeats 3	yes
endpoint-recovery	4	protocol-recovery,llm-wiring	parent	length timeout retry ambiguous send and config wake are distinct durable paths	cargo test --locked -p lkjagent-app product_flows	cargo run --locked -p lkjagent-xtask -- campaign run --scenario endpoint-recovery --repeats 3	yes
progress-continuity	4	file-recovery,endpoint-recovery	parent	work exceeds four turns resumes and does not starve runnable matters	cargo test --locked -p lkjagent-app product_flows	none	yes
development-recovery-campaign	4	progress-continuity,evaluation-runner	parent	meaningful recovery campaign runs 900 seconds with strategies and restart	cargo run --locked -p lkjagent-xtask -- evidence check --campaign development-recovery	cargo run --locked -p lkjagent-xtask -- campaign run --scenario recovery --seconds 900	yes
journal	5	progress-continuity,workspace-root,conversation-canonical	records-agent	dated model-authored grounded diary uses normal tool grammar/effects	cargo test --locked -p lkjagent-app product_flows	cargo run --locked -p lkjagent-xtask -- campaign run --scenario journal --repeats 3	yes
other-records	5	journal	records-agent	TODO calendar finance note and project files use lazy canonical paths	cargo test --locked -p lkjagent-app product_flows	cargo run --locked -p lkjagent-xtask -- campaign run --scenario records --repeats 3	yes
workspace-memory	5	context-compiler,journal	parent	sourced readable memory affects later matter once and correction wins	cargo test --locked -p lkjagent-app product_flows	cargo run --locked -p lkjagent-xtask -- campaign run --scenario recall --repeats 3	yes
tui-conversation	5	conversation-canonical	ui-agent	one-transaction TUI renders canonical messages once and separates activity	cargo test --locked -p lkjagent-app tui_contract	none	yes
tui-viewport	5	tui-conversation	ui-agent	one Unicode viewport clamps preserves composer and restores bottom follow	cargo test --locked -p lkjagent-app tui_contract	none	yes
activity-projection	6	conversation-canonical,workspace-memory	activity-agent	bounded conversation/session receipts are checked projections not authority	cargo test --locked -p lkjagent-app product_flows	cargo run --locked -p lkjagent-xtask -- campaign run --scenario activity --repeats 3	yes
minimal-artifacts	6	activity-projection,other-records,progress-continuity	activity-agent	short and semantic reports have real bounded checked units and no placeholders	cargo test --locked -p lkjagent-app product_flows	cargo run --locked -p lkjagent-xtask -- campaign run --scenario artifacts --repeats 3	yes
maintenance-minimal	6	minimal-artifacts,other-records,workspace-memory	parent	write-derived README token duplicate and drift maintenance works without graph	cargo test --locked -p lkjagent-app product_flows	cargo run --locked -p lkjagent-xtask -- campaign run --scenario maintenance --repeats 3	yes
development-life-campaign	6	maintenance-minimal,evaluation-runner	parent	meaningful daily-life campaign runs 900 seconds with direct file recall checks	cargo run --locked -p lkjagent-xtask -- evidence check --campaign development-life	cargo run --locked -p lkjagent-xtask -- campaign run --scenario life --seconds 900	yes
development-project-campaign	6	minimal-artifacts,workspace-memory,evaluation-runner	parent	meaningful project campaign runs 900 seconds without cross-project context	cargo run --locked -p lkjagent-xtask -- evidence check --campaign development-project	cargo run --locked -p lkjagent-xtask -- campaign run --scenario project --seconds 900	yes
development-pty-campaign	6	tui-viewport,evaluation-runner	parent	meaningful PTY campaign runs 900 seconds with slow Japanese resize scroll search restart	cargo test --locked -p lkjagent-app tui_contract	cargo run --locked -p lkjagent-xtask -- campaign run --scenario pty --seconds 900	yes
profile-probes	6	progress-continuity,context-compiler,evaluation-runner	parent	tracked concrete complete-task cells have repeated source-bound outcomes	cargo run --locked -p lkjagent-xtask -- evidence check --campaign profiles	cargo run --locked -p lkjagent-xtask -- experiment run --plan evaluation/experiment-plan.tsv	yes
profile-selection	6	profile-probes	parent	one integrated winner passes floors and loser code is removed/results retained	cargo run --locked -p lkjagent-xtask -- quiet verify	cargo run --locked -p lkjagent-xtask -- experiment verify --plan evaluation/experiment-plan.tsv	yes
cleanup	7	development-file-campaign,development-recovery-campaign,development-life-campaign,development-project-campaign,development-pty-campaign,maintenance-minimal,profile-selection	parent	dead features settings tests docs runners profiles and duplicate paths are deleted	cargo run --locked -p lkjagent-xtask -- quiet verify	none	yes
docs-reconcile	7	cleanup	parent	current docs map exact implementation commands evidence and deferred ideas	cargo run --locked -p lkjagent-xtask -- check-docs	none	yes
source-freeze	7	docs-reconcile	parent	clean source hash binary and plans are fixed for final evidence	cargo run --locked -p lkjagent-xtask -- acceptance verify --source SOURCE --evidence evaluation/evidence/SOURCE --allow-incomplete	none	yes
final-docker	7	source-freeze	parent	locked no-cache clean-export Docker verify test lint all pass	sh evaluation/clean-source-gate.sh	sh evaluation/clean-source-gate.sh	yes
final-file	7	final-docker	parent	frozen binary passes meaningful 900-second file campaign	cargo run --locked -p lkjagent-xtask -- evidence check --campaign final-file	cargo run --locked -p lkjagent-xtask -- campaign run --scenario file --seconds 900 --frozen	yes
final-recovery	7	final-docker	parent	frozen binary passes meaningful 900-second recovery campaign	cargo run --locked -p lkjagent-xtask -- evidence check --campaign final-recovery	cargo run --locked -p lkjagent-xtask -- campaign run --scenario recovery --seconds 900 --frozen	yes
final-life	7	final-docker	parent	frozen binary passes meaningful 900-second life campaign	cargo run --locked -p lkjagent-xtask -- evidence check --campaign final-life	cargo run --locked -p lkjagent-xtask -- campaign run --scenario life --seconds 900 --frozen	yes
final-project	7	final-docker	parent	frozen binary passes meaningful 900-second project/artifact campaign	cargo run --locked -p lkjagent-xtask -- evidence check --campaign final-project	cargo run --locked -p lkjagent-xtask -- campaign run --scenario project --seconds 900 --frozen	yes
final-pty	7	final-docker	parent	frozen binary passes meaningful 900-second PTY campaign	cargo test --locked -p lkjagent-app tui_contract	cargo run --locked -p lkjagent-xtask -- campaign run --scenario pty --seconds 900 --frozen	yes
independent-review	7	final-file,final-recovery,final-life,final-project,final-pty	review-agent	reviewer recomputes all acceptance rows and reports no blocker	cargo run --locked -p lkjagent-xtask -- acceptance verify --source SOURCE --evidence evaluation/evidence/SOURCE --allow-incomplete	none	yes
final-acceptance	7	independent-review	parent	exact checker exits zero for all required nodes rows tracked evidence and secrets	cargo run --locked -p lkjagent-xtask -- acceptance verify --source SOURCE --evidence evaluation/evidence/SOURCE	none	yes
